press,title,naver_news_text,naver_news_url,body
한국경제TV,"흔들리는 위상…""5∼10년 내안전자산지위 우려""",네이버뉴스,https://n.news.naver.com/mnews/article/215/0001214513?sid=101,
한국경제TV,"경제학자 90% 이상 ""5∼10년 내 달러안전자산지위 우려""",네이버뉴스,https://n.news.naver.com/mnews/article/215/0001214513?sid=101,
연합뉴스,경제학자 90% 이상 “달러안전자산지위 흔들릴 것”… 트럼프 정책 영...,네이버뉴스,https://n.news.naver.com/mnews/article/001/0015477748?sid=101,
문화일보,"경제학자 90% 이상 ""5∼10년 내 달러안전자산지위 우려""",네이버뉴스,https://n.news.naver.com/mnews/article/021/0002719227?sid=100,
SBS,"""트럼프 감세 정책, 美 달러 '안전자산’ 지위 위협""",네이버뉴스,https://n.news.naver.com/mnews/article/055/0001270831?sid=101,
포브스코리아,김상민 부산디지털자산거래소 비단 대표 - 투자 패러다임의 혁신가,,,
세계비즈,[MONEY] 역시안전자산‘金’…다양한 ETF 쏟아진다,,,
세계비즈,안전자산'골드바 ETF 테크' 제트기류 탔나···'줍줍' 하는 개미투자자...,,,
위키트리,"오늘 금시세(금값)... ""안전자산매력 상실에 국제 금가격 하락세""",,,
서울경제,"부산 아파트 연평균 5.12% 오르며 ‘안전자산’ 입증, 서면권 랜드마크...",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004503015?sid=101,
글로벌이코노믹,"中, 전쟁 위험에도 중동 투자 '확대'…'안전 자산' 우려 직면",,,
토큰포스트,"XRP, 美 예산법안 기대에 이틀 새 7% 급등…디지털안전자산부각",,,
코인리더스,"“은행보다안전” iTrust 커스터디, 2026년 기관자산의 대세될까",,,
지디넷코리아,"두나무, 디지털자산교육 ‘업클래스 금융골든벨’ 성료",네이버뉴스,https://n.news.naver.com/mnews/article/092/0002380155?sid=105,
지디넷코리아,"두나무, 장·노년층 대상 디지털자산교육 '업클래스 금융골든벨' 실시",네이버뉴스,https://n.news.naver.com/mnews/article/092/0002380155?sid=105,
뉴스1,두나무. 디지털자산교육 '업클래스 금융골든벨' 성료,네이버뉴스,https://n.news.naver.com/mnews/article/421/0008341441?sid=101,
아시아경제,"두나무, 시니어 대상 디지털자산교육 ‘금융골든벨’ 성황리 마무리",네이버뉴스,https://n.news.naver.com/mnews/article/277/0005615102?sid=101,
이데일리,"“장노년층 디지털 역량 강화” 두나무, ‘금융골든벨’ 개최",네이버뉴스,https://n.news.naver.com/mnews/article/018/0006052572?sid=105,
이코노미스트,두나무 디지털자산교육 ‘업클래스(UP Class) 금융골든벨’ 개최,네이버뉴스,https://n.news.naver.com/mnews/article/243/0000080408?sid=101,
이코노미스트,"두나무, 시니어 위한 '업클래스 금융골든벨' 진행",네이버뉴스,https://n.news.naver.com/mnews/article/243/0000080408?sid=101,
파이낸셜뉴스,"두나무, 50대 이상 디지털금융교육 '도전 금융골든벨' 성료",네이버뉴스,https://n.news.naver.com/mnews/article/014/0005369845?sid=105,
머니투데이,"두나무, 시니어 ‘금융골든벨’ 성료",네이버뉴스,https://n.news.naver.com/mnews/article/008/0005214386?sid=101,
파이낸셜뉴스,두나무 디지털자산교육 ‘업 클래스 금융 골든벨’ 성료,네이버뉴스,https://n.news.naver.com/mnews/article/014/0005370379?sid=105,
