press,title,naver_news_text,naver_news_url,body
뉴시스,"韓, 아세안국가 전기차점유율급감…""중국이 추월""",네이버뉴스,https://n.news.naver.com/mnews/article/003/0011886030?sid=101,
뉴시스,"韓, 아세안 수입 전기차시장 점유율뚝…3년 전보다 80%↓",네이버뉴스,https://n.news.naver.com/mnews/article/003/0011886030?sid=101,
이코노미스트,"한국, 아세안 전기차점유율급감…중국에 1위 내줘",네이버뉴스,https://n.news.naver.com/mnews/article/243/0000045566?sid=101,
연합뉴스,중국에 빼앗긴 아세안 전기차시장…한국점유율'5분의 1토막',네이버뉴스,https://n.news.naver.com/mnews/article/001/0013971110?sid=101,
데일리안,中 때문에 힘 못쓰는 韓 전기차…2년새 아세안점유율5분의1 토막,네이버뉴스,https://n.news.naver.com/mnews/article/119/0002717099?sid=101,
뉴시스,"'생수점유율40%대' 제주삼다수, 25년 누적 매출 3.5조 돌파",네이버뉴스,https://n.news.naver.com/mnews/article/003/0011885810?sid=101,
뉴시스,"25년간 부동의 1위…제주삼다수, 3조5000억 팔렸다",네이버뉴스,https://n.news.naver.com/mnews/article/003/0011885810?sid=101,
아시아경제,제주삼다수 출시 25주년…누적 매출 3조5000억원,네이버뉴스,https://n.news.naver.com/mnews/article/277/0005265649?sid=103,
뉴스1,제주삼다수 연 매출 3천350억원 달성…사상 최대,네이버뉴스,https://n.news.naver.com/mnews/article/421/0006835807?sid=102,
연합뉴스,"제주삼다수, 누적 매출 3.5조원 넘어…25년간 성과 공개",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013970709?sid=101,
파이낸셜뉴스,韓 전기차 中에 추월… ASEAN점유율5분의 1토막,네이버뉴스,https://n.news.naver.com/mnews/article/014/0005019587?sid=101,
파이낸셜뉴스,"中에 밀린 韓, 동남아 수입 전기차시장점유율5분의1 토막",네이버뉴스,https://n.news.naver.com/mnews/article/014/0005019587?sid=101,
지디넷코리아,中에 밀린 韓…ASEAN 전기차시장 점유율'1/5'로 꼬꾸라져,네이버뉴스,https://n.news.naver.com/mnews/article/092/0002293758?sid=103,
조세일보,"아세안 전기차점유율…쪼그라든 韓 입지, 中이 꿰찼다",네이버뉴스,https://n.news.naver.com/mnews/article/123/0002306536?sid=101,
경기일보,ASEAN 수입 전기차시장 점유율한국 '1/5 토막',네이버뉴스,https://n.news.naver.com/mnews/article/666/0000012507?sid=101,
뉴스토마토,"공정위, MS·블리자드 인수 승인…""국내시장 점유율미미해""",,,
뉴스토마토,"90조 딜 성사될까…공정위, MS의 블리자드 인수 '승인'",,,
한국경제,"공정위, MS의 블리자드 인수 승인…""경쟁 제한 우려 없어""",네이버뉴스,https://n.news.naver.com/mnews/article/015/0004850276?sid=105,
연합뉴스,"공정위, MS의 블리자드 인수 조건 없이 승인…""경쟁 제한 없어""(종합)",네이버뉴스,https://n.news.naver.com/mnews/article/001/0013971098?sid=101,
서울경제,"K-배터리 ESS점유율, 3년새 55%→14% '뚝'…350조시장회복 방안은 [biz...",네이버뉴스,https://n.news.naver.com/mnews/article/011/0004195913?sid=101,
조선비즈,하이證 “셀트리온 목표가 21만원…유플라이마 美 진출로점유율↑”,네이버뉴스,https://n.news.naver.com/mnews/article/366/0000905278?sid=101,
조선비즈,"셀트리온, '휴미라' 美시장 점유율확보 기대-하이투자",네이버뉴스,https://n.news.naver.com/mnews/article/366/0000905278?sid=101,
EBN,"셀트리온 주가 강세, '휴미라' 美시장 점유율확보 기대",,,
딜라이트닷넷,"하이투자 “셀트리온 ‘휴미라’ 바이오시밀러, 미국서 유의미한점유율...",,,
경향신문,"삼성도 제쳤다···인도 파이어볼트, 애플 이어시장점유율2위 등극",네이버뉴스,https://n.news.naver.com/mnews/article/032/0003226721?sid=101,
포인트데일리,"선진, 미얀마 제2사료공장 준공…시장점유율3위권 진입",,,
대한경제,식어가는 검색엔진…네이버점유율10%p ‘뚝’,,,
지피코리아,하이브리드카 100만대 누적 등록 돌파…점유율5% 돌파,,,
