sub_keyword,tfidf_score
골프,0.04286780863918299
게임,0.022772027891074107
하이트진로,0.022196881761573067
라운드,0.02110434753724743
타이어,0.020684807550841507
크루아상,0.019581124826760204
메달,0.01909313255933729
매수,0.016920830070241165
리니지,0.01642438505970261
피죤,0.01571084856581906
뱅크,0.015053598180406925
이세돌,0.015052305531464888
대한항공,0.014330839737340222
먹거리,0.014310456288175444
에코,0.014260468360258065
한진,0.014168615438858695
지수,0.012721211770511099
프로비,0.012675971875784947
낸드,0.012669674199012698
준법,0.012253808343894704
순이익,0.012189002645858154
채널,0.012168516488318789
뷰티,0.011943671397127513
리치,0.011635400020935964
이스트,0.011635400020935964
엔씨소프트,0.011348361419649807
데카,0.011266820250885096
관광,0.011262846062071973
디스플레이,0.010829414668667374
쿠폰,0.010564952519639
교촌,0.01029899176401702
전지,0.010091710304165436
한돌,0.010034870354309926
야간,0.009857357172834733
패널,0.00978730599730837
스타,0.009778858209932455
필드,0.009778858209932455
대출,0.009620040591977425
신문,0.009536424637965776
썸머,0.009435180498465106
슈퍼,0.009313197936503217
화물,0.009208282328052937
명목,0.009173182515806474
국민소득,0.009173182515806474
하이닉스,0.009169311140215082
카운티,0.00896123379348612
라이프,0.008722753029003369
대국,0.008601317446551366
종가,0.008585646584272293
패션,0.008508961458153622
마트,0.008254756200967273
헤지,0.008058035163621599
가맹,0.00802855036851959
치킨,0.008010326927568794
메모리,0.008007221149287895
겨울,0.007727010047196624
스마트폰,0.007676322712916458
포지션,0.007657443011419462
오버,0.007657443011419462
축하,0.0075509248817463934
상품권,0.007406803251305488
의류,0.007402548251227247
오리온,0.007098560827387206
실천,0.007056607251288032
코스,0.0070534527439712206
타임,0.0070485080298161445
벌룬,0.006984898721380324
홀딩스,0.0067996674704363
팬데믹,0.006798291915238561
니켈,0.006767422704769935
주간,0.00672342138764414
흑자,0.006696932602220317
서약,0.0066838954603062
경복궁,0.006682596395768053
판매량,0.0066226447947570445
부수,0.006602140133976305
갤럭시,0.00660157312111273
맞이,0.006356000437217653
프로모션,0.006352577115463886
금융투자,0.0062504141101097635
초코파이,0.0062112407239638045
해제,0.006144605175808403
유가,0.006033083762919201
월드,0.0060272452075922234
승리,0.005920291931016475
보험사,0.00591471573228558
제일제당,0.005817700010467982
조미,0.005817700010467982
발효,0.005817700010467982
차세대,0.0056566352288677955
코스피,0.005606154560085756
총수,0.00557452180762364
골퍼,0.005489861378880965
구상,0.005432276705700749
골프장,0.005376740276091673
블록,0.005308511223690722
서버,0.00523367355206305
급등,0.005181586097440495
산케이,0.005134997881981572
부진,0.0051333135781908585
수송,0.005022699451665238
고체,0.004964959947233237
호조,0.004887699254401835
프로,0.004853311685458663
다소,0.004848496085526708
체육,0.004848083342056652
효율,0.004815332438337556
페이,0.004796499576277534
하량,0.004791832615899297
장사,0.004778345406200613
현물,0.004769263775243277
인텔,0.004761224455719148
시가총액,0.004699434155125232
에프,0.004666404949432257
호실,0.004562189357951849
조원태,0.0045143889790504885
플래시,0.004482264345588902
마이,0.004401426755984204
바둑,0.004300658723275683
호선,0.004300658723275683
행진,0.004233994667420777
일가,0.004180891355717729
메타,0.003981383417768041
약세,0.0037775727885570425
양산,0.003742187054284166
현황,0.0037163478717490927
공정위,0.0037163478717490927
그린,0.003527605616634032
스프레드,0.003480655914281573
어비스,0.0033178195148067012
사익,0.0032518043877804562
편취,0.0032518043877804562
분율,0.003164341759728819
