sub_keyword,tfidf_score
대출,0.03101348942581291
페이,0.020771404245809994
게임,0.01838371180858616
뱅크,0.018081915340038564
가상,0.01718893906358171
토스,0.016768639165163423
화폐,0.016111123919628618
농협,0.015658304827075167
우리은행,0.015561763439563569
채용,0.014758252265571325
신한은행,0.014754641841982682
스타트업,0.014051400436964803
메뉴,0.013966010918376504
하나은행,0.013567774438651117
유튜브,0.013318558151901187
커피,0.012845386767172649
거래소,0.012476915261017197
금고,0.01221076282225968
배달,0.012004749115851771
예비,0.01177028037163487
주주,0.011651480867507407
세종시,0.011340307597169176
금리,0.0108135035721032
한도,0.010744249233149343
마이,0.010654414012458476
계좌,0.010627368551785742
클라우드,0.010508595946062613
푸드,0.010380241030390501
보증,0.009946361695837718
가맹,0.009887351119576136
채널,0.009417277278773126
우리금융,0.00936692079767811
국민연금,0.009114842294564118
사모펀드,0.008998219788801857
통화,0.008859472130071626
금융투자,0.008586548780568715
블록,0.008396466728609605
상담,0.008391910210014494
미래에셋,0.008364525684458161
판로,0.008248879339493987
반도,0.007914906459150384
시중,0.007727873494525561
보험사,0.00766689183747744
영상,0.007575396656232549
국민은행,0.007535314944173735
부산,0.007297860161053146
지점,0.006892986702975109
기업은행,0.006813760068373452
인하,0.006812035600993204
체육,0.0067969732290257216
입점,0.006732109299824132
이마트,0.006705128533040885
부패,0.006541254657805784
캐피탈,0.006421627625358042
은행권,0.006265517425903859
열사,0.006205146613427836
금융위,0.0060773346760817385
금융업,0.005994320635445429
협상,0.005836606980170967
위반,0.005772221865363038
점수,0.0057247938216567484
제휴,0.00568647294829495
연금,0.005662910493071122
입찰,0.005629082925116127
한진,0.005576926168532302
매매,0.005519484873197897
맥주,0.0054547275130906
주소,0.005178008717949184
효율,0.005081754008865991
담보,0.005026073341796232
넥슨,0.004923665963429793
두산,0.004837268415346628
지배구조,0.004726888397381077
시너지,0.004317890970962783
왓챠,0.004183048202441785
아시아나,0.004136753444520578
비즈,0.004121522837436409
포럼,0.003898803377007819
미니,0.0037425809046065517
메타,0.0036098284821094867
