sub_keyword,tfidf_score
대출,0.08680374072439301
금리,0.08325136915034388
저축은행,0.02770332125566989
증권사,0.027431960761883083
기준금리,0.023366986303106053
코스닥,0.020501514455375076
부채,0.020083759179329405
자산운용,0.019483737064404132
코픽스,0.019254556544011224
코스피,0.01866156656300483
부동산,0.018599173311020345
만기,0.01822267933658677
지수,0.018182207272271385
한국은행,0.017583350469085917
가계,0.01694753063097544
연체,0.016773354652479085
뱅크,0.016566273463433746
채권,0.016285801265751354
시중,0.015799481506672434
상환,0.01561194032615354
우리은행,0.015489127769227163
토스,0.014596061598688436
라임,0.014552149574819106
수은,0.014169123996720111
종목,0.01409591754812731
차주,0.013952349052557305
남양유업,0.013470748800729572
가계부채,0.01316889682897755
보증,0.013160074601006374
금융업,0.013054677543047634
스톡옵션,0.012781128096174727
담보,0.012699145746573565
대한전선,0.01226104915372269
잔액,0.012081072095389377
물가,0.01207301327612862
산정,0.011762869158361852
예금,0.01166980691069741
주주,0.011598706629476065
하나은행,0.01146615588016674
금융투자,0.01140427665273032
게임,0.011355857441179366
변동,0.011273676112280332
보금자리,0.01081381656914873
유동성,0.01070386260477219
가상,0.01046682976019796
모험,0.01044778391020627
전세,0.010334575910076641
부실,0.009991661742546287
미래에셋,0.00976729669529867
파생,0.00974120549338352
화폐,0.009504544336131456
거래소,0.009426914710460315
크래프톤,0.009421547567784348
사유,0.009414166617954526
금통위,0.009360697438954228
신한은행,0.009282402404283283
여신,0.009100671987933082
강세,0.009027494665350728
배출,0.008914938817404964
매수,0.00827439354680335
고정,0.008203571933954462
징계,0.008131047191306586
총량,0.007985012605113638
중간배당,0.00785864384454789
가산,0.007849137980066614
배당,0.007819599360576142
저자,0.007743468801155911
교보,0.007730145503286564
한도,0.007667238377801214
금융시장,0.007660870145667312
영업정지,0.007659900557377636
매매,0.007608696895278343
매도,0.007578813558561204
인하,0.007558455409649912
보증금,0.007480527630493354
취약,0.0074652057211112115
기조,0.007404991944235737
계좌,0.007223010003330604
은행권,0.007174578380922881
서민,0.00698635308315531
상승세,0.006955456852216263
연초,0.006873246490720917
반등,0.00671832379926008
반환,0.006568533050696775
원전,0.006539226215318769
적금,0.0065244699677027744
출금,0.00639784306662145
수신,0.006390931552666907
리스,0.006388158563132488
우대금리,0.006347444459413099
로버,0.006324912899928826
레드,0.006324912899928826
빅스텝,0.0062829073206246465
빅스,0.006164630830564936
실수,0.006159525239845079
마이,0.006121273272898627
자본잠식,0.006086077077644127
수장,0.005979048788005381
우리금융,0.005945136871842269
공약,0.005456060306050885
기업은행,0.005445426216725696
취급,0.0053544008261224435
금융위,0.005250789977997224
지주사,0.005189254736398474
은행업,0.005168265848910836
윤석열,0.005100709923662563
물가상승률,0.005035564170322343
역전,0.0049270517617534424
상향,0.004854306173500655
입자,0.004839971721566043
변수,0.0047983373368768595
다소,0.004786379923913077
대통령,0.004774009970917534
필요성,0.004753842817037834
절벽,0.004703383435970459
불가,0.004685477843732025
환율,0.004524486408593667
자본시장,0.004479555116626716
대손충당금,0.004423282487394969
장사,0.004405218571911038
국책,0.004399066909560535
하향,0.004108073753397423
주식시장,0.0039993408681674265
대다수,0.0036179105512843574
당분간,0.0032277740151405096
세금,0.003111410392435314
