sub_keyword,tfidf_score
쿠팡,0.04065372484140291
새마을금고,0.029129980826050512
위반,0.019945849713165858
뉴스,0.019922235300555546
범죄,0.019459372732950373
웨이브,0.016375944216336872
취업,0.014822395423713802
집회,0.014811952684366482
식품첨가물,0.014531566173198954
웹툰,0.014371750915424017
스마트폰,0.014280015410844426
포털,0.014194606836875815
상표,0.013931329436175081
피해자,0.01385391564507422
전화,0.013429169977682806
보험료,0.01338771130559455
차단,0.013322606822540203
어업,0.013096725900582822
텔레콤,0.012340727994881647
한솔,0.011911933155566816
통계,0.011891422442220731
코로나바이러스,0.011838982890647935
엔터테인먼트,0.011368241329746757
방심위,0.011364540948242062
사이트,0.011258927657625725
수납,0.011033614761741927
판촉,0.011009950979382992
영상,0.010962955430020276
거래소,0.010654483258009356
넷플릭스,0.010476042321951564
종목,0.01041041856603839
복구,0.010342834948025287
면직,0.009678441521470653
브로드밴드,0.009599279763222024
운전,0.009478050540528754
비정규직,0.009397077793822243
고발,0.009359073160292022
소셜커머스,0.009291314256580465
질병,0.009035012063922446
연기,0.00894218379978623
동양,0.00887997126420547
디스커버리,0.00886700616073655
등록,0.00872741931956207
심의,0.008635291759816557
계룡대,0.008578051379774266
판정,0.008511986861305287
아예,0.008395317889218504
게시,0.008345296275770766
수리,0.008054638108990493
주류,0.008007237075914903
개학,0.007980685997419173
가짜,0.007951917833163904
보험사,0.007936040873274035
방송통신,0.007918585625088528
대한항공,0.0078614944073999
포탈,0.007827547434534244
김정주,0.007827547434534244
넥슨,0.007827547434534244
웹사이트,0.007766312384873293
유성,0.007744395008676543
적발,0.007679058205255507
스튜어드,0.007677021076909791
언론사,0.007536928068881552
화장실,0.007486403231975155
불매운동,0.007461588711943224
우간다,0.007384357315476933
혐의,0.0072339346327204524
코드,0.007166466509353707
데코,0.00714715989334009
마루,0.00714715989334009
마일리지,0.0070132752328242905
컴퍼니,0.0070042365613435
유포,0.006998093894812048
재팬,0.006967545384877912
빗썸,0.006926705091408248
유선,0.006895223298683525
부서,0.0068255392416200185
학생,0.006776345632591976
국민연금,0.006717393442296067
감사,0.006697974793037342
작가,0.006652489587718094
네트워크,0.006638154034386092
실손,0.0066335644346621255
가입자,0.006605319804572294
질환,0.006548362950291411
감시,0.006526265541938279
월평,0.0065012214265947965
기업은행,0.006448731753262944
케이블,0.006397060883150281
접속,0.006127895455317491
근절,0.006047184532398991
급등,0.005991961516991759
마크,0.005975954265228004
허위,0.005970349189859295
미달,0.00596051101971028
연재,0.00585044989874868
교육청,0.0058082962565074074
진료,0.0057709293513119285
상품권,0.005631107120258693
통보,0.005567630402934002
단지,0.005549725887973968
현역,0.005361282112358915
총장,0.005356217596793463
작품,0.0052461554276001954
감염,0.005209566464584269
소주,0.005004523172446814
분류,0.004984905040906648
비회,0.004825153901123025
반복,0.004725583019305453
채권,0.004456197705315794
한도,0.004357344741730762
체력,0.004289025689887133
주말,0.004289025689887133
항공권,0.004207965139694575
보험금,0.004203052767754199
웹대협,0.003983571152325813
실태,0.003908423335042474
배우자,0.0037528974786512413
카트,0.0037528974786512413
예비역,0.0037528974786512413
접수,0.0036968288672087086
자본금,0.0035694689612600474
해외여행,0.0035066376164121452
사기,0.0030705906131190722
소속,0.0029621379288991617
과잉,0.0029346193597626848
