sub_keyword,tfidf_score
게임,0.050389635361404145
로봇,0.026078767061859093
모빌리티,0.022218019445358003
텔레콤,0.021232731071672506
한진,0.018765630194420124
택시,0.013563078945603926
넥슨,0.013302502295316796
노선,0.013104898013795456
상용,0.01282669756768539
네트워크,0.012523181297864077
디스플레이,0.012416380257099485
메타,0.011532800206040025
부회장,0.011296068534256376
골프,0.011190324044040367
이스,0.01077980249403051
박물관,0.009678743012854856
캐릭터,0.00910239293821005
작품,0.009036667061069332
과학기술,0.008959935937027414
채용,0.008870676652592632
클라우드,0.00883610527618785
박사,0.008626671278118468
소자,0.008441709430542548
대한항공,0.008433886134706643
운행,0.008430343117310926
센서,0.008420566491114572
가맹,0.00831560583587971
라이프,0.008178199239129836
구현,0.008171594130746597
실시간,0.008121309847099816
분할,0.007929707409246152
부사,0.007923755329388812
일자리,0.007909391483107204
영상,0.007902472181873968
효율,0.00786488516419609
인재,0.0077251298836807205
유플러스,0.007722201588859046
기기,0.007637605772354356
표준,0.007622403736037356
주주,0.007546301887537315
스마트폰,0.007537882501178087
실증,0.0074882594480497645
운항,0.007385413693693093
에코,0.007332693594287702
국토부,0.007324891668506337
제휴,0.007156648939997156
갤럭시,0.007107392217771798
전무,0.006906634914583718
주제,0.006784325753014844
화면,0.0067787782053039675
제주,0.006742111863355523
공연,0.006728380309759467
항공사,0.0067073176742948985
총괄,0.006551431194971546
자율,0.006489084963637794
청렴,0.006456758267766236
스타,0.00630304305089068
이스타항공,0.006300930798753696
방역,0.006290096224943852
나노,0.006244921097613419
트릭스터,0.0061861353515355565
주행,0.006178140996790653
운전,0.00608438459111953
육교,0.006079914232938488
재계,0.006050779501000968
테크놀로지,0.006013422905465787
금제,0.005965829111256947
구상,0.005874451858010391
이사회,0.005866546526435869
양자암호,0.0058130064785524545
뉴딜,0.005762758419834735
색상,0.005725832255534543
시범,0.005512947232470296
점포,0.005502450541676084
카풀,0.005462619711486883
향기,0.005370853087238147
구독,0.005305496730164733
인치,0.005262752486129153
편의점,0.005045022020060956
무선,0.004836690622009773
셔클,0.0047905749345829585
퀄컴,0.0047506903070952495
오디오,0.0047506903070952495
인천,0.0044990475410016705
창조경제,0.0043757444255572014
홀딩스,0.00405110674812392
대리,0.004027590942447616
