sub_keyword,tfidf_score
분양,0.06802010089292557
단지,0.048680503694349876
세종시,0.043761180245988664
부동산,0.043713573314456626
청약,0.031585543746400435
블록,0.027612170771704914
토지,0.02426937365378401
구역,0.020423491335283872
마을,0.02027199636909033
상가,0.019455601397211676
모델링,0.01905867399756552
생활권,0.01798464797041729
주거,0.017239063563647423
조합,0.016474708251673756
계룡,0.016023011770220214
필지,0.014063323670033163
용지,0.01403516565504744
지하,0.013687728513726106
매매,0.013528315394866625
도안,0.013227798787880142
커뮤니티,0.01319766240102551
지상,0.013164837339022283
타운,0.013074211135737061
행정,0.012715109451853477
오피스텔,0.012566841325213934
견본주택,0.012459884012644735
산림,0.012367608086208157
매가,0.01123055143065729
전세,0.011212489685969936
호반,0.011170892954181742
재건축,0.011059473939568323
셋값,0.011035199858407854
보합,0.010957285296012531
건설청,0.010926465083989837
건축,0.010795237839755004
배치,0.01058527594656498
유성,0.010552414768629767
입찰,0.010539313657700666
타입,0.010254999192666592
당첨,0.010051917692938749
부산,0.010018192047351434
수익률,0.01000164789009091
한세상,0.009766746145325383
전월세,0.009607141603262091
대출,0.009486936495951651
시티,0.009373643734967914
금강,0.009148175918381105
유성구,0.009086434201874648
거래량,0.009025683074649168
건립,0.008958389159940062
도로,0.00895611563442377
감정평가,0.008850193214399067
도보,0.008825838471918245
캐슬,0.008817147838029348
시몬,0.0087817753109185
인천,0.008779038106575009
침대,0.008736923895410503
경쟁률,0.00872141943916166
일대,0.00864850441735834
접수,0.008585590357927478
호선,0.00857632915810363
풍경,0.008505294319192062
주상,0.008504043713904338
재개발,0.008429515093887511
상승세,0.008403873857769256
개방,0.008352483639473463
심의,0.008304678671097316
승률,0.008176033270468749
평형,0.00805268980284413
호재,0.008031892038107957
인접,0.007877937948408485
강릉,0.007873651641591813
건물,0.007722751886121161
대덕구,0.007694337699310742
실내,0.007691113235277329
임대,0.007641701185853116
지난주,0.007585755288863319
세금,0.007406570098588474
파크,0.007366131775817286
천안,0.007343777807772934
보증,0.007055290110249196
넥슨,0.007054930177414697
강남,0.007034557383618922
집값,0.006912842303855522
번지,0.006856865965079039
거주,0.0068412182914626505
준공,0.006829846509647426
상업시설,0.006820176593322457
과학벨트,0.006806265365470438
통풍,0.00676609056138641
용적률,0.0066275289684561145
대우건설,0.006592009486216056
전주,0.006514541306040907
방촌,0.006334758401520554
포레,0.0063047420102065755
신협,0.006279543058408165
통장,0.0061858138088788425
노선,0.006185598941702295
중구,0.006121047926801867
개통,0.006108169439425808
국토해양부,0.0060615337428398435
중도,0.005978217908148493
실수,0.00597448000869133
시공사,0.005929321637430609
도안신도시,0.005925540336151955
시세,0.005863062352511236
이준,0.005753758603235339
선화,0.005722021026736466
경남,0.005704118148835217
청주,0.00569401324996159
상형,0.005655876170132965
서산,0.005635816463997382
평면,0.005614447060521263
가가,0.005595942938379871
신혼부부,0.005588935104028593
택지,0.005569107380660366
수주,0.005552299624981957
남향,0.005551110734875275
도서관,0.005358097652884917
호도,0.005351711922477761
신도시,0.005314608613662668
대화,0.005247107034655392
매도,0.005220809458053098
매트리스,0.00520997037328782
지자체,0.0051831411649798185
연천,0.005157645084119043
국화,0.005146001948217781
가족,0.005113698051571703
금호,0.004983205099411496
다소,0.004946344375841657
흑석,0.00487038628320013
하우스,0.004616412292275928
스카이,0.004561018829433309
자녀,0.0045184604737210105
리조트,0.0036380579509446946
입주물량,0.0035510214000027437
