sub_keyword,tfidf_score
노조,0.03760873558769031
채용,0.02212396666696757
대덕,0.017223017996910207
이사회,0.016208828227824875
과학기술,0.015025231637086125
총장,0.014771852180365827
여성,0.01387520625488042
선임,0.013311478365277166
근로자,0.01304482896261447
사외이사,0.012862997855459572
선거,0.012811824279761727
원장,0.01241246746006301
취업,0.012391010150429357
세종시,0.012342461128309477
대학,0.012139688664495893
농협,0.012135724974708205
부회장,0.012106187265771248
예비,0.011835474510379942
특구,0.011805197497703939
인재,0.011648351184952754
방송,0.011639739754181214
이사,0.01154276939782861
토스,0.011409725631176135
상의,0.011355913489074144
주제,0.010985605203791353
혐의,0.01081854708591391
대통령,0.010277144961957576
상공,0.010163684496789624
준법,0.010011793573726203
금호,0.009961779631432735
이사장,0.009929401240730093
임금,0.00974341499168986
검찰,0.009640172736075134
대표이사,0.009443484225374011
노사,0.009388817393832356
차기,0.009313817849798626
주자,0.009186712971987625
노동자,0.009097030806621316
징계,0.00894694454782562
일자리,0.008845972698025959
농성,0.008300260259817248
재건축,0.008275483733949877
영진,0.008244694969394915
재청,0.008185252050308088
승진,0.008114751312471169
이스타항공,0.007973509576243307
원자력,0.00791320634725295
협상,0.007814015674620658
열사,0.007797198200325167
출신,0.007714639547490408
조합,0.007681378540537325
감시,0.007661896329142113
교섭,0.007628720797588311
공정위,0.007598306186816912
단지,0.007536712182433185
재판,0.00734092188093337
고로,0.007227525530069506
반발,0.007136474939337261
국민연금,0.00703367982855877
용역,0.006982482429041939
파업,0.006957696669394452
연금,0.006893852532442396
한진,0.006879889982789185
가족,0.0068522323953310775
시술,0.006702351889412861
일가,0.006684184780483245
포럼,0.006670311566696433
선출,0.006604249476627387
하자,0.00657794281256543
노총,0.006566446799554383
대화,0.006560646754459902
임기,0.006552729435717301
참여연대,0.00647836320769395
개편,0.0064752504162248386
감사,0.006455043134987856
우리금융,0.0064099147755391755
총수,0.006381337448742951
민주당,0.006310306291291679
의결,0.006273825929519483
발의,0.006251063929030288
노동조합,0.006226666055435556
넥슨,0.006200236391922585
부사,0.006069849634648788
집회,0.006038992077148733
유플러스,0.006037164314604267
소속,0.0058148386339661505
위반,0.005806834581494008
근로,0.0057041644403127
중앙회,0.005646034214092958
남성,0.005636074156414856
관광,0.0056290986843947595
포털,0.005616010432380018
폐지,0.0055538545673075
특검,0.005517620988849471
지배구조,0.005364239651501737
상무,0.005317839574315967
컬리,0.005278504616442313
주주,0.005194048618836548
박사,0.004783978927300446
전무,0.004781732101679317
뉴스,0.0047024634803309396
의결권,0.0046444541807597025
제주항공,0.004481688687753726
소득공제,0.0044685098573336674
권한,0.004288029958925102
실효,0.004046849618924207
항목,0.0039017952659185194
언론사,0.003755823151407313
시위,0.0032604611007155987
