sub_keyword,tfidf_score
맥주,0.022126378070336815
노조,0.020472682374262877
판매량,0.017296231010505606
그림,0.016023243364704197
파업,0.014786102030849815
근로자,0.013720995371498623
화재,0.013228220792371764
카풀,0.013079503439875342
여름,0.013006282810648648
택시,0.012497680224532733
주주,0.012472895353321032
세트,0.012448509840439648
공기청정기,0.011746121835907647
산림,0.0116820750695243
항소,0.011376604612515061
라이프,0.011368861602363802
취업,0.011227690444851472
물티슈,0.011108720166720735
임금,0.01091831939241378
영국,0.010694382456800898
케미칼,0.01068703100150143
명절,0.010613132600373327
부회장,0.010590708288293438
운동,0.010196590354201576
채널,0.0100942265403118
운항,0.009924408422745905
웨이,0.009708499367856616
무궁화,0.009694957278904587
마트,0.009669527703639377
판결,0.009630419283487325
공연,0.009604887126702745
건조,0.009492112153983129
가로등,0.009481105774337638
택배,0.009446311211047314
대우건설,0.00942784989642953
용품,0.009354697104568672
이브,0.009213255662449637
연금,0.009102556511718735
음료,0.008995526460080627
급식,0.008793476150217763
노래,0.008659425131431255
패션,0.008576474057004095
혹시,0.00857040534962301
영상,0.008541828960538662
밴드,0.008183699684538748
상여금,0.008095098885229543
디스플레이,0.008027406635909225
하이트진로,0.007971139641385926
반올림,0.007882074420493263
직구,0.007761124516669195
일과,0.007716294014807654
위니,0.007711995443431832
검찰,0.00767140410875543
지수,0.007650694927619884
나파,0.0076173825123900946
가족,0.0076022077274121875
치료,0.007488472247338113
메이커,0.007414957876340776
갤럭시,0.007401777854073917
시나몬,0.007289473596001071
석탄,0.007270253871896777
수면,0.0072547699739139646
넥슨,0.0072350963685814985
편의점,0.007198818156775127
지점,0.007143310825046045
의류,0.006974454546349368
저렴,0.006964298564890223
빗물,0.006940014250588865
승계,0.006927471113382779
승차,0.0069237942283882845
대리점,0.0069006220152512815
매체,0.006824757430287814
균형,0.006763526946822734
꽁초,0.006739079964709315
제주,0.0066789418297853054
이강국,0.006494568848573441
옵션,0.0064024799460338285
게임,0.006366945639018273
이마트,0.006232529070143474
시즌,0.006195214035672254
컨설턴트,0.005996735332636931
중재,0.005915471781453045
유리,0.005872319750498273
사망,0.005816481851857317
노동자,0.0057758115438182305
여성,0.005765370890295266
화물,0.0056318412672110765
감독,0.005564068218085186
패널,0.00553548038166062
카메라,0.005529642647307168
인디밴드,0.005412140707144534
총파업,0.005299631710359353
이야기,0.0052776494461584875
동행,0.005212312518687746
스마트폰,0.005081567574577524
점포,0.004911500359330954
배당,0.0048631656160416405
충전,0.0048103278583760825
효율,0.004707026597851135
즉시,0.004625390965928855
유통업,0.0045572393807482795
터미널,0.0045198043889692376
맞이,0.0044652310698673715
이노베이션,0.004421953266423873
노동조합,0.004355400764686663
호반,0.004354702878556038
탑재,0.00402085904686535
통운,0.003901174787723423
휴가,0.0036125622204599187
